genotype,human_score_blue
PI576428,1.8387826330375192
PI576429,3.258361323013612
PI576430,3.018438249881481
PI576431,2.457910167660866
PI576432,2.4978520834990325
PI576433,2.260977385844664
PI576434,2.699229893567397
PI576435,2.2628120502012816
PI576436,1.6128977742942283
PI576437,2.2385425558061636
PI585291,1.4393548701960424
PI585295,1.7494737430921634
PI594355,1.99567693002418
PI595699,2.4479763760931736
PI595700,2.8772453659098467
PI595701,2.575481165360772
PI595702,2.6592872310808486
PI595703,2.0904000494933026
PI595704,2.377804280745756
PI595705,3.1663364264932685
PI595706,2.9196299895719573
PI595708,2.310171134964043
PI595709,1.3317443804861544
PI595710,2.8124094202927585
PI595711,2.20966939535872
PI595712,2.5360063075502053
PI595713,1.9408421861986545
PI595714,2.307991852240486
PI595716,1.888622898241684
PI595717,2.1445489582530537
PI595718,2.6635287836584323
PI595719,2.645050036884854
PI595720,3.4052391079597752
PI595721,2.543300189572573
PI595722,2.0077059121300005
PI595723,2.8312239187679005
PI595724,2.2948435167679615
PI595725,2.671114417647927
PI595726,1.7687349749984065
PI595727,1.9286048274020584
PI595728,2.1715615202394667
PI595729,2.1774685153604536
PI595730,3.1923385227263408
PI595731,2.4971700294820973
PI595732,1.83256810725776
PI595733,1.1615546365137284
PI595734,2.061657315481406
PI595735,1.4342179085598992
PI595736,2.0091145912565462
PI595737,1.8266848773846411
PI595738,2.437326914034923
PI595739,1.309510476271096
PI595740,2.3445744353849785
PI595741,2.4098653916790904
PI595742,2.599098202151761
PI595743,3.0088773766617796
PI595744,2.050177802803138
PI595745,2.243536885958158
PI595746,1.6748883262720486
PI595747,1.6157504029956358
PI595748,2.513123615181243
PI596332,1.879316701742685
PI596567,2.1272382199579423
PI597943,2.463147421392806
PI597944,1.9109147343744275
PI597945,2.436300865045383
PI597946,2.7298478116736105
PI597947,2.4470447739529653
PI597949,2.697471839754974
PI597950,3.843432811141777
PI597951,3.1430929680537334
PI597952,3.1068328078808713
PI597953,2.659227673451949
PI597954,3.1238986459420732
PI597955,2.067424619027064
PI597956,2.936912950503829
PI597957,2.484121726836632
PI597958,1.7973028782831144
PI597959,2.239620805384017
PI597960,2.603784214108062
PI597961,1.8870736319928128
PI597962,1.8778979800017388
PI597963,2.1971386858350477
PI597965,1.829347700910972
PI597966,2.2411467303259833
PI597967,1.7871669042198606
PI597968,3.21157105473761
PI597969,2.1348269460381664
PI597970,2.4592178341071316
PI597971,2.0253513357368553
PI597972,2.6587698175149574
PI597973,2.3100669647778003
PI597974,2.924698973318531
PI597975,2.6468380104464035
PI597976,2.2405798178121867
PI597977,3.6243293977350137
PI597978,2.672913026326138
PI597979,2.565586392664228
PI597980,2.435769897918441
PI597981,3.164532144286317
PI597982,2.4132032982236247
PI598069,1.3473749480325543
PI598070,2.3572421223927873
PI601415,1.803752846385406
PI601553,1.2910376758427131
PI601554,1.5189297972435063
PI601555,2.4766881459284367
PI601556,1.6202151542764596
PI601557,2.036849419027992
PI601716,2.4577741340087074
PI601721,1.86626378119264
PI601743,2.2188757428296206
PI601744,2.102263919528371
PI601756,1.9500865820770712
PI601816,2.003420564175086
PI602599,2.2351475722860856
PI602600,2.3817254942133483
PI603983,1.736206908821593
PI605723,2.1137112787523717
PI605724,1.6678371121161502
PI605725,1.6385752083104173
PI605726,2.4825563464483427
PI606788,1.4051835565549915
PI607931,2.2240284105101327
PI609456,2.7575810202683604
PI613536,2.3634624982111827
PI613610,1.8825955608669256
PI613611,3.3212449916975673
PI613612,2.27155554278224
PI613613,2.604210084334319
PI619402,2.0253930907624182
PI629034,1.341650040674576
PI629040,1.571025494989989
PI629059,1.7005818152348158
PI641824,2.333664707490445
PI641836,2.1045564202788234
PI641849,2.357060057908384
PI641874,2.698120265703269
PI642791,2.026468439377893
PI642793,2.0623215044910137
PI642992,2.5826366355295285
PI642998,2.314876924327196
PI651492,1.491461717099
PI651496,2.6773557339524556
PI653616,2.1495245537451515
PI653617,3.271870679236992
PI655970,1.5303306214293817
PI655971,2.489246897765392
PI655972,2.5187432345229155
PI655973,2.199041980418321
PI655974,1.5476813461952006
PI655975,1.2889812495701118
PI655976,2.8373448773492633
PI655977,2.3951724786737825
PI655978,1.403816110279279
PI655979,1.8276788102186567
PI655980,2.148667864408526
PI655981,2.0997638239461787
PI655982,1.5646259482938831
PI655983,2.441673004548825
PI655984,2.3543053066862956
PI655985,1.6912235002418867
PI655986,1.938109194178915
PI655987,2.3240174971059013
PI655988,1.7456587732285458
PI655989,2.47911622198752
PI655990,1.9709351241649864
PI655991,1.4026624703464925
PI655992,1.9323656804800953
PI655993,1.4019026423492458
PI655994,2.029460309345402
PI655995,1.995505383521909
PI655996,2.207175773824998
PI655997,2.0733152381598283
PI655998,2.418590703881738
PI655999,1.77329987472645
PI656000,1.7461896948626845
PI656001,1.6321331044755527
PI656002,2.0314774709002905
PI656003,1.9023030509888352
PI656004,1.2822456721285351
PI656005,1.7480003142523095
PI656006,1.615030205825977
PI656007,2.36015543757175
PI656008,1.3350732191794172
PI656009,1.3474613667296242
PI656010,1.676097210496442
PI656011,1.51749949029592
PI656012,2.241084005278337
PI656013,3.458060614737604
PI656014,2.418807598064471
PI656015,2.1340193999531
PI656016,2.043788899340723
PI656017,1.9520087093981096
PI656018,1.954896668716278
PI656019,2.6262316102022876
PI656020,2.064508354686171
PI656021,1.9546218027630544
PI656022,2.662616456370561
PI656023,2.3720451079657874
PI656024,1.8985681968091193
PI656025,3.399269435761993
PI656026,1.3631793295444026
PI656027,2.1415819539874055
PI656028,1.4952982356969742
PI656029,2.2120827377207104
PI656030,1.4569106207660243
PI656031,1.232921820082623
PI656032,1.802909832060578
PI656033,2.0695744517241814
PI656034,1.362503237932563
PI656035,2.258715950332614
PI656036,1.3695348467491082
PI656037,1.5770196770600802
PI656038,1.989748510053124
PI656039,1.6459578399981305
PI656040,2.8318145553922793
PI656041,2.1063204770528277
PI656042,2.321853668671189
PI656043,1.4154254486539657
PI656044,1.2602630894407287
PI656046,3.3172196713644926
PI656047,2.674895617809166
PI656048,1.9012907226348403
PI656049,2.66507467280014
PI656050,2.3825889713010437
PI656051,1.5625919297136426
PI656052,2.5149840653808333
PI656053,1.4554191757545183
PI656054,1.3579346827766376
PI656055,1.6879523500684963
PI656056,1.823524021679647
