feature,mean_feature_importance,sd_feature_importance,min_feature_importance,max_feature_importance,rank
embedding_std_427,0.00012484429585965648,2.4512848079903615e-05,8.133892483996564e-05,0.00013943506480660158,1568
embedding_std_673,0.00012479110197893822,3.087938120857397e-05,7.700328351370165e-05,0.00014876365438833757,1569
embedding_std_461,0.0001247561184500134,3.2529752375165614e-05,7.912853642082337e-05,0.00015164031045055836,1570
embedding_std_1000,0.00012475595326187145,3.725693925110212e-05,5.9002242433056156e-05,0.00014952032661449282,1571
embedding_mean_679,0.0001247179237078593,4.3543136938609974e-05,6.00234394968064e-05,0.00016493877567482358,1572
embedding_mean_791,0.00012465162856017806,2.2948731924152977e-05,9.076535520109014e-05,0.0001537667140887805,1573
embedding_std_705,0.00012460447881517517,3.1237235845174607e-05,7.404179894770547e-05,0.0001463970717356542,1574
embedding_mean_785,0.00012456394124456784,1.9048811897692056e-05,0.00010748812838123363,0.00015677720513557027,1575
embedding_mean_256,0.00012454818582600952,4.2607342836158206e-05,7.005151851816602e-05,0.00017015741808089582,1576
embedding_std_695,0.00012448224356955304,4.02165371542109e-05,7.326984145884556e-05,0.0001646712055899093,1577
embedding_mean_637,0.00012444700109466572,3.085425814387517e-05,8.001979216494052e-05,0.00016547719993593462,1578
embedding_std_773,0.0001244374801589658,2.579070891138006e-05,8.88482425445729e-05,0.00015628139024281902,1579
embedding_std_564,0.00012439266560047946,2.695036533984959e-05,8.030588250418264e-05,0.00015164221987377076,1580
embedding_std_779,0.00012431733630726888,3.9649096879549704e-05,6.010807422559293e-05,0.00015970224119812854,1581
embedding_std_272,0.00012431677647825167,1.2218123717146056e-05,0.00010859425352868292,0.00014058276724598318,1582
embedding_std_322,0.00012422005678788996,2.4757967363318905e-05,9.679841703683927e-05,0.00016298363991303522,1583
embedding_std_379,0.00012420193135647927,2.2994936303727103e-05,8.92512641023802e-05,0.0001504821935499379,1584
embedding_mean_314,0.0001241995184463911,3.409011765201148e-05,7.21311681104416e-05,0.0001570319728803391,1585
embedding_std_859,0.00012411876291191785,1.15397388367783e-05,0.00011043041716338134,0.00013598851438651025,1586
embedding_std_153,0.0001240640200966275,2.9113155467174955e-05,0.00010535958944198827,0.0001753468329691897,1587
embedding_std_540,0.00012391549596056276,6.0592657246288344e-05,5.089836142646744e-05,0.00017316663874864403,1588
embedding_mean_822,0.0001238974213010621,1.877867454155632e-05,0.00010341006347705021,0.00014126437694321036,1589
embedding_std_860,0.00012373896046631187,2.3918120999407028e-05,9.294088307756368e-05,0.00014927708980270402,1590
embedding_mean_954,0.00012372388288381739,4.074842043986068e-05,5.2346051869784174e-05,0.000150414398183602,1591
embedding_mean_154,0.00012369111033188354,5.054373217406898e-05,4.138735913898062e-05,0.00016510339395265768,1592
embedding_mean_703,0.00012367248048734402,4.679512667640117e-05,5.031124986768518e-05,0.00016284688217279507,1593
embedding_std_215,0.00012366086822105946,3.1426811247537266e-05,7.378994713883429e-05,0.00015845345107074824,1594
embedding_std_563,0.00012359325470419992,3.049204961004067e-05,7.864208232471812e-05,0.00016284811001503785,1595
embedding_std_156,0.0001235759086793934,2.6813564080070375e-05,8.383209537993483e-05,0.0001557090484325757,1596
embedding_mean_476,0.0001235585463255967,3.542279102481038e-05,8.298602724920026e-05,0.00017428482501580017,1597
embedding_std_470,0.0001234466202051599,1.2594157951798374e-05,0.00011011407761281839,0.00013599079458547766,1598
embedding_std_90,0.0001234417362318853,3.331019794379426e-05,7.511262861054275e-05,0.0001667445061193879,1599
embedding_mean_6,0.00012336716319339872,3.152678407401609e-05,7.069002140392205e-05,0.00015335207239910978,1600
embedding_mean_926,0.00012336681377175647,3.476346393097168e-05,8.465328140428593e-05,0.00016466711161650823,1601
embedding_mean_657,0.00012335877090054878,4.8888021109222494e-05,6.252535987452181e-05,0.00019012636709015438,1602
embedding_std_337,0.00012335494403906854,3.7364190448346394e-05,6.730756324580472e-05,0.00016185044262614744,1603
embedding_std_728,0.00012333131079626385,3.3023297562822844e-05,7.299972459261851e-05,0.00015327657937767866,1604
embedding_mean_590,0.0001233265246833977,4.321391826926872e-05,6.998829577399097e-05,0.0001859043636383094,1605
embedding_std_320,0.0001232893090814794,3.433881193592793e-05,6.995773116916819e-05,0.00015426862596195913,1606
embedding_std_478,0.00012321860246756723,1.917940016073235e-05,9.335480154911177e-05,0.00014084541331909784,1607
embedding_std_791,0.0001232087092752,3.269017713550198e-05,6.862504145165384e-05,0.00014912300526437572,1608
embedding_mean_298,0.00012310341380096477,2.548043636371567e-05,8.301650139189725e-05,0.00014433069583268232,1609
embedding_mean_669,0.00012307374648203262,3.090808913578847e-05,7.26027790778806e-05,0.00015547172490250704,1610
embedding_std_315,0.0001230443872806712,2.2693560169831556e-05,9.599965717883235e-05,0.00014204427093067256,1611
