feature,mean_feature_importance,sd_feature_importance,min_feature_importance,max_feature_importance,rank
embedding_mean_682,0.001697460645624196,0.0005095697853541401,0.0009592912738245626,0.00220062236914518,106
embedding_std_557,0.0016892607755692023,0.00021111240850070945,0.0015286001847008726,0.002042145540361369,107
embedding_mean_895,0.0016428895044260955,0.0003464505906066936,0.001150937221698678,0.0020766521117538397,108
embedding_mean_225,0.0016136190494292703,0.0005653143224095212,0.001082348535973642,0.00243545827362429,109
embedding_std_963,0.0015900482380183391,0.00017570190194572807,0.0013242126986327469,0.0017641991993569272,110
embedding_std_793,0.0015601945410110968,0.0006498975876541266,0.0010258773780421782,0.0026088816969805366,111
embedding_std_161,0.0015332458931556826,0.0002876777898928335,0.0011562306529684671,0.0019428165053912616,112
embedding_mean_973,0.0015022212573413158,0.00020915957590755628,0.0013127712540224848,0.0018417424849617669,113
embedding_std_20,0.001487728134163173,0.0006623044739525796,0.0007582417186793529,0.00220108542456241,114
embedding_mean_954,0.0014569909890203064,0.0001976260899324656,0.0012670050956014739,0.001744534214629049,115
embedding_mean_503,0.0014081146418164717,0.0005330109819176007,0.0008299958139269888,0.0020195552087475376,116
embedding_std_151,0.0013870829898159063,0.0002416335586138096,0.0011593952344761,0.0016494319739448011,117
embedding_std_424,0.001386537737221794,0.00035207482091968034,0.0010531206239777452,0.0018675560277363302,118
embedding_mean_690,0.0013686909399550252,0.00037573048058227966,0.0007139763562991971,0.001636787798158763,119
embedding_mean_287,0.00135847268164407,0.00045123054676924517,0.0009681256966860686,0.0018848108179614585,120
embedding_mean_229,0.001326623530383251,0.0006227564405937734,0.0008657430123969404,0.0024019016373614485,121
embedding_mean_441,0.0013089622712653683,0.00011915901662442382,0.0011246909520295427,0.0014329894965862439,122
embedding_std_924,0.0012929911395352745,0.0003469147485853532,0.0007240018118269148,0.0015759538672515546,123
embedding_std_1003,0.001289815216354,0.00038821002287823907,0.0009817794824306023,0.001937397955037776,124
embedding_mean_819,0.001270779432057253,0.0003957675301191362,0.0008651392040610483,0.00188512529708432,125
embedding_mean_16,0.0012547711165268641,0.00033954152877485675,0.0008398048668864227,0.001720095825918646,126
embedding_mean_240,0.001249828748834609,0.0006078194928804787,0.0006584027599860506,0.001963506023383601,127
embedding_mean_944,0.0012325211788308701,0.00040082448793864336,0.0006945373598299331,0.0017266818321256324,128
embedding_mean_267,0.0012237028752156592,0.0004559861714425,0.0005677297434855166,0.0018170584472707117,129
embedding_mean_735,0.0012138106672410066,0.00038656304336918767,0.0007505955432891953,0.0016501212639703396,130
embedding_mean_621,0.0012120395123190434,0.00024379254237544306,0.0007978861973618967,0.0014445418071719713,131
embedding_mean_52,0.001193808169962623,0.00039078221910214826,0.0009634045737354906,0.0018897043348465499,132
embedding_mean_344,0.0011734398931663318,0.0003449613913966969,0.0006031146954983191,0.001520845319768764,133
embedding_mean_76,0.0011602472522827237,0.00021502580107050204,0.0009517887510351627,0.0014944160600059472,134
embedding_std_836,0.0011505460507045737,0.0004027488301514579,0.0006293776725380867,0.0016286146676535863,135
embedding_mean_962,0.0011428977333810292,0.00022915282708500857,0.0009202750084544759,0.0014784932624167747,136
embedding_std_785,0.0011413946386180378,0.00016475466397186957,0.0009095689499475138,0.0013365176937631831,137
embedding_std_808,0.0011335110298676889,0.0005379493901215124,0.0003214769124053566,0.0016869966530901745,138
embedding_std_240,0.0011269982951341484,0.0006407784319118038,0.000640545800680307,0.0020669886878991145,139
