trait,environment,broad_sense_h2,genotype_vcov,residual_vcov,phenotypic_v_for_h2,total_vcov,mean_environments_per_genotype_harmonic,mean_plot_reps_per_genotype_environment_harmonic,mean_plot_reps_per_genotype_harmonic,genotype_x_environment_vcov,n_plot_means,n_genotypes,model,heritability_method,converged,has_warning,boundary_solution,boundary_vcov_sources,genotype_boundary,singular,h2_reliable,status,warning,error
embedding_std_219,Nebraska2025,0.2960319888802209,0.00011987569325195085,0.0005032569667864695,0.0004049416879081078,0.0006959785374059367,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_std_220,Nebraska2025,0.20980387779484502,6.20377224100068e-05,0.00041249777502158223,0.0002956938787884077,0.0005376348436805047,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_std_221,Nebraska2025,0.20800000460659127,7.728936407762093e-05,0.000519548326815423,0.00037158347291292186,0.0008518115456748803,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_std_222,Nebraska2025,0.23953958510915177,0.00010209769261358833,0.0005722155141583028,0.0004262247200898555,0.0007879341431225758,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_std_223,Nebraska2025,0.36148292572470303,0.00017848795019141986,0.0005565933463754247,0.0004937659222315582,0.0008959996364524391,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_std_224,Nebraska2025,0.18333621266071218,0.0001477984374276507,0.0011622759932375033,0.0008061606339669032,0.0022020478393093715,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_std_225,Nebraska2025,0.2430143207366102,0.0001390012913238109,0.0007643970693012583,0.0005719880659809622,0.0010273467586912398,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_std_226,Nebraska2025,0.22155149596289533,9.045138192552149e-05,0.0005610670830187611,0.0004082634672919111,0.0009240209618426446,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_std_227,Nebraska2025,0.3650018616311879,0.0003060389985130234,0.0009399365261046824,0.0008384587331838245,0.0015827970349387385,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_std_228,Nebraska2025,0.2851725471844251,0.00021184708524958447,0.0009374764859000821,0.000742873349279936,0.0015235358051026169,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_std_229,Nebraska2025,0.22663865115622583,0.00013346651766887,0.0008040169371188847,0.0005888956583000015,0.0011813100705691817,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_std_230,Nebraska2025,0.24987281682486007,0.0001535438496923676,0.0008137531791803994,0.0006144880089137066,0.00143767480840561,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_std_231,Nebraska2025,0.27548661901160015,0.00011300276429469233,0.0005246616868289468,0.00041019329613949064,0.0008176348849528607,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_std_232,Nebraska2025,0.3114353844219571,0.00023482286382412392,0.0009165612852033611,0.000754001875091905,0.0014740686105533128,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_std_233,Nebraska2025,0.2740684392463334,0.00011935839484345216,0.0005581282477598642,0.0004355057998348089,0.0007621310296550062,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_std_234,Nebraska2025,0.30595217917827056,0.00013295991137958276,0.0005324771099300983,0.000434577428854038,0.000774088656427904,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,block,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_std_235,Nebraska2025,0.22287039776659795,0.0001407262710832449,0.0008662846642697901,0.0006314264814595123,0.0011811306108087283,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
embedding_std_236,Nebraska2025,0.34360204589908055,0.00016012632222494214,0.0005400308728980246,0.00046602260998170216,0.0008918955461520108,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_std_237,Nebraska2025,0.18237138526395402,4.1774259133479076e-05,0.0003306378160577041,0.00022906147843872204,0.0004524514013251928,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,True,False,False,,False,False,True,ok,,
embedding_std_238,Nebraska2025,0.3952703472473994,0.0001960431716978614,0.0005294965461138647,0.0004959723719805324,0.0008707828277555565,,,1.76540512099134,,1953,954,trait ~ mask_pixels_scaled + (1|row) + (1|column) + (1|block) + (1|device) + (1|genotype),lme4_2.0.1_reml_line_mean,False,True,True,row,False,True,False,ok,boundary (singular) fit: see help('isSingular'),
