genotype,dry,fresh,water_frac,peak_dose
PI656077,-0.5981505010923103,-0.8376351785408769,-1.3731327410446106,0.0
PI656078,0.3472285302729613,0.733714828249944,1.25020388389855,0.0
PI656079,-0.0317835131889177,-0.1629524353048894,-0.2634414679844966,0.0
PI656082,1.9921545453518064,2.481786525184325,1.2531158897398322,0.0
PI656083,0.002457922544378,-0.145761964334443,-0.1899975913224613,0.0
PI656085,-0.4310420318202004,-0.6460845703523169,-0.945480043263633,0.0
PI656086,0.3612423775127234,0.9298795749725568,1.377169472257228,0.0
PI656087,-0.7165889867120696,-0.9852074179739708,-1.7936613809302528,0.0
PI656088,-0.264564867526828,0.0217640731199583,1.017124770630251,0.0
PI656090,0.1785801161115896,0.3019447051550288,0.4383854906033217,0.0
PI656091,0.2843345168921183,0.678963127268652,1.304621059629615,0.0
PI656092,0.4230639250745295,0.7557340173023793,1.0586088329910952,0.0
PI656093,-0.933085935408617,-0.8830411083804113,-0.2696824971312704,0.0
PI656094,-0.4678220201458599,-0.4336284576735944,-0.0757964139020356,0.0
PI656095,0.1964743644531292,-0.1948270982430454,-1.2458269855936903,0.0
PI656096,-0.2876521551876408,-0.2743097483338779,0.1455695721952987,0.0
PI656097,0.993729280814206,1.537549560606304,1.1416585925476357,0.0
PI656098,-0.2889538368654128,-0.7378201589474335,-2.00092711864355,0.0
PI656099,1.132391741747382,1.8270542268283505,1.5703179234166202,0.0
PI656100,0.7755622794724946,1.645168929034441,1.9508882619949544,0.0
