environment,genotype,embedding_mean_30,embedding_std_897
Nebraska2025,PI534132,-0.23104439483685404,0.791572346344326
Nebraska2025,PI534133,-0.18839731282299896,0.8393790572656754
Nebraska2025,PI534134,-0.02982483221806781,0.865590936348098
Nebraska2025,PI534135,-0.17833026523928822,0.7956760178148923
Nebraska2025,PI534136,-0.08772209917557747,0.8021979343189807
Nebraska2025,PI534137,-0.196964439249998,0.8239549998950777
Nebraska2025,PI534138,-0.02207290165312128,0.8244279770415694
Nebraska2025,PI534139,-0.08512238119650628,0.8677152766930076
Nebraska2025,PI534140,-0.08939398961721852,0.8251893241826039
Nebraska2025,PI534141,-0.05695185384743939,0.8633128401879997
Nebraska2025,PI534142,0.00715075416133936,0.8947958683731155
Nebraska2025,PI534143,0.02614926172435028,0.910312809638175
Nebraska2025,PI534144,-0.00230348239634417,0.8578554478579914
Nebraska2025,PI534146,-0.4214187713870816,0.7986581912559082
Nebraska2025,PI534147,-0.01671529743293809,0.872317336313526
Nebraska2025,PI534148,-0.10201715343354202,0.8404555998334973
Nebraska2025,PI534149,-0.2127428103147667,0.8134410306883262
Nebraska2025,PI534150,-0.10601398355402304,0.8318492674978126
Nebraska2025,PI534151,-0.09541015728268798,0.8250644869640107
Nebraska2025,PI534152,-0.19368598194039793,0.8484931171226373
Nebraska2025,PI534153,-0.17547694568020883,0.8388612414349474
Nebraska2025,PI534154,-0.01502517483944571,0.8247276644662634
Nebraska2025,PI534155,-0.16121905919280025,0.7802161085013175
Nebraska2025,PI534156,-0.1228040556552352,0.8477387413139763
Nebraska2025,PI534157,-0.08593019838567216,0.8331810560298291
Nebraska2025,PI534158,-0.1253116041527556,0.813414406698617
Nebraska2025,PI534159,-0.01245434179286941,0.843365319538209
Nebraska2025,PI534160,-0.22878721120174675,0.841213282321795
Nebraska2025,PI534161,-0.1840864881723497,0.8372281500995734
Nebraska2025,PI534162,-0.18287530099882285,0.8282583749125941
Nebraska2025,PI534163,-0.16971486546354334,0.8583473924865002
Nebraska2025,PI534164,-0.11938372367889968,0.8762204993834258
Nebraska2025,PI534165,-0.1739962278488923,0.7946752970030612
Nebraska2025,PI534166,-0.14119873526434612,0.85357947087191
Nebraska2025,PI534167,-0.16596664539268996,0.8472683313130018
Nebraska2025,PI540816,0.04268851578987534,0.8749718298422673
Nebraska2025,PI542406,-0.18821687168234985,0.836842314525161
Nebraska2025,PI542718,-0.13893814079985148,0.8697419791376324
Nebraska2025,PI543243,-0.09291450503602118,0.8354230817487955
Nebraska2025,PI543247,-0.20715895786526484,0.8219069271379116
Nebraska2025,PI544069,-0.01324497362440985,0.847639623479127
Nebraska2025,PI548797,-0.2720172069179638,0.8088288009136078
Nebraska2025,PI552856,-0.23080968575508076,0.8072569787252764
Nebraska2025,PI552861,-0.11413444256577485,0.8227892884483465
Nebraska2025,PI554646,-0.05365759583362295,0.851347503074662
Nebraska2025,PI554648,-0.1743180558549446,0.8166934564351489
Nebraska2025,PI554649,-0.11005229592170808,0.8611515342843282
Nebraska2025,PI554650,-0.248952476204554,0.8266475150515126
