environment,genotype,embedding_mean_30,embedding_std_897
Nebraska2025,PI533897,-0.17576729185215054,0.838456431676112
Nebraska2025,PI533898,-0.11108481955151144,0.8355655460462446
Nebraska2025,PI533899,-0.03521050620272412,0.8634408372456982
Nebraska2025,PI533900,-0.12249765110327974,0.8329420697778351
Nebraska2025,PI533902,-0.01823725284519753,0.8476796603156014
Nebraska2025,PI533903,-0.2185580338243789,0.8399688601855626
Nebraska2025,PI533904,-0.05926930989443407,0.8609937618882881
Nebraska2025,PI533905,-0.17838044506603465,0.8522369028122895
Nebraska2025,PI533906,-0.17215786977257805,0.8459690838732341
Nebraska2025,PI533907,-0.05707687119032878,0.7965313117736322
Nebraska2025,PI533908,-0.13905469746741791,0.832109712567103
Nebraska2025,PI533909,-0.10644939921685875,0.83771015391862
Nebraska2025,PI533910,-0.17169075603789621,0.8331965910952428
Nebraska2025,PI533911,-0.1726980078320658,0.8387350983056021
Nebraska2025,PI533912,-0.02310470596109384,0.8957123795848493
Nebraska2025,PI533913,-0.11543401723693512,0.8494206331716656
Nebraska2025,PI533914,-0.1839245509761955,0.8715039560827256
Nebraska2025,PI533915,-0.16922852344283304,0.8818974766828817
Nebraska2025,PI533916,-0.02988231079205042,0.8882889054871672
Nebraska2025,PI533917,-0.11577740140292624,0.888915510310156
Nebraska2025,PI533918,-0.16647513537036182,0.8367625947889162
Nebraska2025,PI533919,-0.13924860304311526,0.8732527981007134
Nebraska2025,PI533920,-0.07889585230325953,0.8521848366527774
Nebraska2025,PI533921,-0.06828189666042928,0.817448927675702
Nebraska2025,PI533922,-0.11629089325236316,0.8360235119154935
Nebraska2025,PI533923,-0.06742924133651915,0.8556581604678629
Nebraska2025,PI533924,-0.06985833925565202,0.802384048789842
Nebraska2025,PI533925,-0.11183920006246044,0.8276473718086352
Nebraska2025,PI533926,-0.19857716262695396,0.8487921368738823
Nebraska2025,PI533928,-0.13893956855921266,0.860607705833577
Nebraska2025,PI533929,-0.22470572857866752,0.7984157021016474
Nebraska2025,PI533930,-0.03794675715613907,0.8442794395142139
Nebraska2025,PI533931,-0.2149972860317579,0.8679632417154335
Nebraska2025,PI533932,-0.2061592981967572,0.830506795418239
Nebraska2025,PI533933,-0.2764188777514394,0.8165314268061643
Nebraska2025,PI533934,-0.15344267950252355,0.8382277835855574
Nebraska2025,PI533935,-0.1715457476919221,0.8570667536678935
Nebraska2025,PI533936,-0.11254113145607184,0.8090800347753393
Nebraska2025,PI533937,-0.10648979464902812,0.8549269179221777
Nebraska2025,PI533938,-0.08379159525925003,0.8898588642633446
Nebraska2025,PI533939,-0.09735345828927802,0.8954444494022034
Nebraska2025,PI533940,-0.18621921155548785,0.8639738594669213
Nebraska2025,PI533941,-0.19418197565954295,0.8581870104811672
Nebraska2025,PI533942,-0.24595189560952457,0.836152669193428
Nebraska2025,PI533943,-0.18924630294640585,0.8610923095933815
Nebraska2025,PI533944,-0.2202508383490025,0.8404483709873406
Nebraska2025,PI533946,-0.15632534362578596,0.8441973238240063
Nebraska2025,PI533947,-0.2600600742986449,0.7856280476684685
Nebraska2025,PI533948,-0.22418546397668915,0.8446817492804786
Nebraska2025,PI533949,-0.15151811806820747,0.8507498670809089
Nebraska2025,PI533950,-0.08907953370355427,0.8727863602829521
Nebraska2025,PI533951,-0.14689396507811858,0.8537499202523777
Nebraska2025,PI533952,-0.20723956281918693,0.8220545140360936
Nebraska2025,PI533953,-0.13442522359745362,0.8757849013446061
Nebraska2025,PI533954,-0.1385278290184657,0.8303215776147461
Nebraska2025,PI533955,-0.1634743621582685,0.867203364068182
Nebraska2025,PI533956,-0.17816967163619288,0.8757008202718304
Nebraska2025,PI533957,-0.08242675865906923,0.8543488455109651
Nebraska2025,PI533958,-0.00550837327661093,0.8251510000939094
Nebraska2025,PI533959,-0.0901591882950031,0.8807416583460228
Nebraska2025,PI533960,-0.12121464336403724,0.8093124266436262
Nebraska2025,PI533961,-0.17356281400855136,0.8527786842914797
Nebraska2025,PI533962,-0.06708743637343012,0.8866908652202118
Nebraska2025,PI533963,-0.10839707558489624,0.8466055400694783
Nebraska2025,PI533964,-0.25353290913134796,0.8137008108659534
Nebraska2025,PI533965,-0.18006081848795086,0.8091584493461358
Nebraska2025,PI533966,0.04403876822941799,0.9008960063876352
Nebraska2025,PI533967,-0.2412017269976242,0.8195967655946347
Nebraska2025,PI533968,-0.0922131807240418,0.820238669076342
Nebraska2025,PI533969,-0.13479050885470095,0.8473709361634543
