image_id,image_path,environment,plotNumber,genotype,estimated_leaf_area,log_estimated_leaf_area,sam3_n_crops,leaf_area_segmentation_method,leaf_area_status
10207_LeafPhotoA_2025-10-21 16_15_23.481,data/externalsourcerequired/aamu2025/block1/10207_LeafPhotoA_2025-10-21 16_15_23.481-05_00.jpg,Alabama2025,10207,WRAY,4165734,15.242403048548509,4,CV2,ok
10208_LeafPhotoA_2025-10-21 16_16_24.756,data/externalsourcerequired/aamu2025/block1/10208_LeafPhotoA_2025-10-21 16_16_24.756-05_00.jpg,Alabama2025,10208,PI656079,1639503,14.309903705091333,4,CV2,ok
10208_LeafPhotoA_2025-10-21 16_16_41.101,data/externalsourcerequired/aamu2025/block1/10208_LeafPhotoA_2025-10-21 16_16_41.101-05_00.jpg,Alabama2025,10208,PI656079,1648584,14.315427295609753,4,CV2,ok
10208_LeafPhotoA_2025-10-21 16_16_54.447,data/externalsourcerequired/aamu2025/block1/10208_LeafPhotoA_2025-10-21 16_16_54.447-05_00.jpg,Alabama2025,10208,PI656079,1999377,14.508346189998017,4,CV2,ok
10209_LeafPhotoA_2025-10-21 16_17_14.171,data/externalsourcerequired/aamu2025/block1/10209_LeafPhotoA_2025-10-21 16_17_14.171-05_00.jpg,Alabama2025,10209,,793934,13.584755613348637,4,CV2,ok
10209_LeafPhotoA_2025-10-21 16_17_29.809,data/externalsourcerequired/aamu2025/block1/10209_LeafPhotoA_2025-10-21 16_17_29.809-05_00.jpg,Alabama2025,10209,,1665282,14.325505036424678,4,CV2,ok
10209_LeafPhotoA_2025-10-21 16_17_44.566,data/externalsourcerequired/aamu2025/block1/10209_LeafPhotoA_2025-10-21 16_17_44.566-05_00.jpg,Alabama2025,10209,,1514484,14.230585344850871,4,CV2,ok
10210_LeafPhotoA_2025-10-21 16_18_23.457,data/externalsourcerequired/aamu2025/block1/10210_LeafPhotoA_2025-10-21 16_18_23.457-05_00.jpg,Alabama2025,10210,PI533769,1420735,14.166684901299657,4,CV2,ok
10210_LeafPhotoA_2025-10-21 16_18_44.067,data/externalsourcerequired/aamu2025/block1/10210_LeafPhotoA_2025-10-21 16_18_44.067-05_00.jpg,Alabama2025,10210,PI533769,1714617,14.354700290026585,4,CV2,ok
10210_LeafPhotoA_2025-10-21 16_18_55.913,data/externalsourcerequired/aamu2025/block1/10210_LeafPhotoA_2025-10-21 16_18_55.913-05_00.jpg,Alabama2025,10210,PI533769,1800252,14.403437213067308,4,CV2,ok
