image_path,image_id,plotNumber,environment,ExG_P20_disease_pct
1029_LeafPhotoA_2025-09-08 10_04_56.323-05_00_leaf.png,1029_LeafPhotoA_2025-09-08 10_04_56.323-05_00,1029,Nebraska2025,0.05
1030_LeafPhotoA_2025-09-08 10_05_12.593-05_00_leaf.png,1030_LeafPhotoA_2025-09-08 10_05_12.593-05_00,1030,Nebraska2025,0.85
1030_LeafPhotoA_2025-09-08 10_05_24.735-05_00_leaf.png,1030_LeafPhotoA_2025-09-08 10_05_24.735-05_00,1030,Nebraska2025,0.54
1030_LeafPhotoA_2025-09-08 10_05_38.200-05_00_leaf.png,1030_LeafPhotoA_2025-09-08 10_05_38.200-05_00,1030,Nebraska2025,0.26
1031_LeafPhotoA_2025-09-08 10_05_56.491-05_00_leaf.png,1031_LeafPhotoA_2025-09-08 10_05_56.491-05_00,1031,Nebraska2025,0.29
1031_LeafPhotoA_2025-09-08 10_06_14.545-05_00_leaf.png,1031_LeafPhotoA_2025-09-08 10_06_14.545-05_00,1031,Nebraska2025,0.46
1031_LeafPhotoA_2025-09-08 10_06_33.217-05_00_leaf.png,1031_LeafPhotoA_2025-09-08 10_06_33.217-05_00,1031,Nebraska2025,0.01
1032_LeafPhotoA_2025-09-08 10_07_00.646-05_00_leaf.png,1032_LeafPhotoA_2025-09-08 10_07_00.646-05_00,1032,Nebraska2025,0.69
1032_LeafPhotoA_2025-09-08 10_07_16.135-05_00_leaf.png,1032_LeafPhotoA_2025-09-08 10_07_16.135-05_00,1032,Nebraska2025,0.11
1032_LeafPhotoA_2025-09-08 10_07_30.322-05_00_leaf.png,1032_LeafPhotoA_2025-09-08 10_07_30.322-05_00,1032,Nebraska2025,0.23
1033_LeafPhotoA_2025-09-08 10_08_09.974-05_00_leaf.png,1033_LeafPhotoA_2025-09-08 10_08_09.974-05_00,1033,Nebraska2025,0.35
1033_LeafPhotoA_2025-09-08 10_08_28.524-05_00_leaf.png,1033_LeafPhotoA_2025-09-08 10_08_28.524-05_00,1033,Nebraska2025,0.1
1033_LeafPhotoA_2025-09-08 10_08_54.253-05_00_leaf.png,1033_LeafPhotoA_2025-09-08 10_08_54.253-05_00,1033,Nebraska2025,0.03
1034_LeafPhotoA_2025-09-08 10_09_26.073-05_00_leaf.png,1034_LeafPhotoA_2025-09-08 10_09_26.073-05_00,1034,Nebraska2025,0.46
1034_LeafPhotoA_2025-09-08 10_10_03.182-05_00_leaf.png,1034_LeafPhotoA_2025-09-08 10_10_03.182-05_00,1034,Nebraska2025,0.71
1034_LeafPhotoA_2025-09-08 10_10_16.663-05_00_leaf.png,1034_LeafPhotoA_2025-09-08 10_10_16.663-05_00,1034,Nebraska2025,0.15
1035_LeafPhotoA_2025-09-08 10_12_45.309-05_00_leaf.png,1035_LeafPhotoA_2025-09-08 10_12_45.309-05_00,1035,Nebraska2025,0.21
1035_LeafPhotoA_2025-09-08 10_12_59.269-05_00_leaf.png,1035_LeafPhotoA_2025-09-08 10_12_59.269-05_00,1035,Nebraska2025,0.18
1035_LeafPhotoA_2025-09-08 10_13_13.017-05_00_leaf.png,1035_LeafPhotoA_2025-09-08 10_13_13.017-05_00,1035,Nebraska2025,0.15
1036_LeafPhotoA_2025-09-08 10_13_37.325-05_00_leaf.png,1036_LeafPhotoA_2025-09-08 10_13_37.325-05_00,1036,Nebraska2025,0.08
1036_LeafPhotoA_2025-09-08 10_13_48.863-05_00_leaf.png,1036_LeafPhotoA_2025-09-08 10_13_48.863-05_00,1036,Nebraska2025,0.34
