genotype,mask_pixels_blue,days_to_flower_blue
PI576416,2910218.0575198075,49.76264505538861
PI576417,3155679.7008843683,58.00610821113722
PI576418,3633768.4668965447,68.98994051466968
PI576419,2195031.7623205655,51.61193433015471
PI576420,4131515.2436266528,52.41880891019344
PI576421,4822861.495173262,59.315708981340286
PI576422,3530973.577971164,61.17151966271479
PI576423,4157798.076012303,66.35328234503905
PI576424,4953926.205932425,72.26109151118604
PI576425,3177062.2502861107,65.65072029711376
PI576426,3697852.9462742317,68.55879957161854
PI576427,3771734.4726039767,50.78275704219295
PI576428,4622977.88855104,64.60678293346974
PI576429,2953482.806631244,52.61917474008789
PI576430,2857090.5336703896,49.105993097560415
PI576431,2828749.8083367464,59.02375861922292
PI576432,3730625.653465951,49.15508185788944
PI576433,4616149.487559443,65.79586235522382
PI576434,5249097.425905125,70.40797614468994
PI576435,3510008.7600560393,65.23321463922704
PI576436,3848751.455812289,62.47229010658398
PI576437,3133630.0016840342,65.20647404103171
PI585291,4011672.1237532655,68.94895832967981
PI585295,4041299.1240878375,65.47562259837851
PI594355,4174832.24019205,71.26999816701647
PI595699,3953316.82801983,68.66864081355723
PI595700,3679653.5059996014,67.51327229157384
PI595701,3052910.759829716,58.48259289995391
PI595702,4992253.025905124,58.4512308772072
PI595703,3658074.0211852044,67.25942526528877
PI595704,4332591.814933024,64.12564594481573
PI595705,2313648.025905125,54.30942131089168
PI595706,4563222.170373058,57.991683090063525
PI595708,2591482.4378518714,55.76283408657986
PI595709,3596122.266392485,57.81517900920675
PI595710,4476078.348991653,68.93017164783043
PI595711,3299714.642464233,67.62223712352463
PI595712,3852384.179628013,57.65412911840485
PI595713,4439617.100842485,66.32154300915201
PI595714,3708430.8699676343,59.19511130339472
PI595716,3906118.7140962807,52.69204891995802
PI595717,4504122.85642187,66.23435091299079
PI595718,3447427.3991931435,50.8157089813403
PI595719,4044434.4936753195,69.39888595458032
PI595720,2995052.651146025,56.35843374172402
PI595721,3417700.5016840342,53.93926183794002
PI595722,3747872.4295746856,64.60266060576592
PI595723,3892129.3843502407,54.44660945265578
PI595724,4109925.458357546,59.50190955393683
PI595725,3483629.420680208,50.716094203274906
PI595726,3708939.1635961207,60.36244886464527
PI595727,2850679.3114286745,57.80033112078201
PI595728,4511131.187662237,69.32767802060748
PI595729,3107957.2568538887,49.289574684775175
PI595730,3131730.752695213,63.91714266429614
PI595731,4310304.022109649,59.96024473782021
PI595732,5068870.208822478,65.11708572683968
PI595733,4652192.032721109,59.61488950880885
PI595734,5190075.427758698,59.99850073264571
PI595735,4910921.653593397,58.15185657087745
PI595736,4622315.711428674,53.09155773190467
PI595737,4291656.720500322,59.34934355161438
PI595738,4086653.608399865,62.55766329785482
PI595739,4060251.4070574986,70.34479845655963
PI595740,4455376.1230766615,69.21268538198377
PI595741,3088840.641670079,58.5612556534251
PI595742,3665983.8350173677,67.8994922562105
PI595743,3631941.2886022,69.72351814748727
PI595744,4121647.170373058,54.63849139407085
PI595745,4000893.876411707,59.69503497389813
PI595746,3534445.6746297413,68.5764499797042
PI595747,3715576.3577300333,56.903431049635145
PI595748,3325824.0031703534,67.5867527730741
PI596332,4127716.873525383,63.76545307196166
PI596567,3674920.498525383,73.21216996619584
PI597943,4452544.471884374,67.07269472055872
PI597944,4537691.589119197,66.93698929041264
PI597945,3363013.5746538937,52.00330569147632
PI597946,3625532.0028645457,55.459714765686655
PI597947,3152219.233013538,50.111404358021154
PI597949,3449840.343626653,71.4199451839571
PI597950,2163369.485666603,65.11629589093035
PI597951,2381667.6179574234,53.41767263642972
PI597952,3948800.2623862857,50.63352353166504
PI597953,2805996.7603225783,47.54481784859969
PI597954,3510410.673399845,
PI597955,3799379.6887763157,57.9893342130395
PI597956,3233379.270627588,64.80889133875809
PI597957,3634752.28840972,
PI597958,3212931.875985073,58.793513478199856
PI597959,3839638.9411634975,48.59549652532931
PI597960,3952341.484358381,57.704547931358704
PI597961,4278187.179052953,64.57443729595255
PI597962,4803172.20614964,70.19344505749748
PI597963,4241712.1911932975,68.8851743399193
PI597965,3905880.85642187,57.29586235522379
PI597966,3398566.8719355324,56.71897305243248
PI597967,4617257.843626653,64.42562655277561
PI597968,4121031.436028546,58.92509658064207
PI597969,3125700.940569733,
PI597970,3682029.170373057,58.65561183002296
PI597971,4000382.255785863,55.90744617255637
PI597972,3672868.8503949237,49.76344038821004
PI597973,3857180.968774078,67.29919484701833
PI597974,2694510.644904847,48.41259756924136
PI597975,2877892.6457867953,51.88115921699804
