genotype,mask_pixels_blue,days_to_flower_blue
PI597976,2962381.2733256235,60.19564127552826
PI597977,2584591.0974070295,48.22632066714823
PI597978,2610512.597127914,59.73889600804556
PI597979,1879243.3666716139,53.40683987092624
PI597980,3448954.00889749,53.02637760460471
PI597981,2905123.7453468665,47.81980043375816
PI597982,2114882.7572657894,48.30146739454574
PI598069,1979706.5043775686,61.46118437765754
PI598070,1961859.1703949235,70.28957468477516
PI601415,4288374.04019205,59.77681580959874
PI601553,4010997.52639061,59.271134440780166
PI601554,3760715.1999911107,71.91365751350845
PI601555,3112417.8735253825,61.72454721646841
PI601556,3586308.4263906097,58.766589345725365
PI601557,4070251.223525383,69.7802246308898
PI601716,3107996.093057276,49.76204425067056
PI601721,4327416.659723943,66.8029501061638
