image_path,image_id,plotNumber,environment,block,row,column,genotype,device,estimated_leaf_area,sam3_n_crops,leaf_area_segmentation_method,leaf_area_status
data/externalsourcerequired/aamu2025/block1/10211_LeafPhotoA_2025-10-21 16_19_56.936-05_00.jpg,10211_LeafPhotoA_2025-10-21 16_19_56.936,10211,Alabama2025,1.0,2,11,PI534046,AL1,1165208,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10211_LeafPhotoA_2025-10-21 16_20_11.562-05_00.jpg,10211_LeafPhotoA_2025-10-21 16_20_11.562,10211,Alabama2025,1.0,2,11,PI534046,AL1,1041013,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10212_LeafPhotoA_2025-10-21 16_20_33.375-05_00.jpg,10212_LeafPhotoA_2025-10-21 16_20_33.375,10212,Alabama2025,1.0,2,12,PI533957,AL1,2715287,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10212_LeafPhotoA_2025-10-21 16_20_47.210-05_00.jpg,10212_LeafPhotoA_2025-10-21 16_20_47.210,10212,Alabama2025,1.0,2,12,PI533957,AL1,1930438,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10212_LeafPhotoA_2025-10-21 16_21_02.162-05_00.jpg,10212_LeafPhotoA_2025-10-21 16_21_02.162,10212,Alabama2025,1.0,2,12,PI533957,AL1,2134675,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10213_LeafPhotoA_2025-10-21 16_21_51.100-05_00.jpg,10213_LeafPhotoA_2025-10-21 16_21_51.100,10213,Alabama2025,1.0,2,13,PI534123,AL1,1389253,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10213_LeafPhotoA_2025-10-21 16_22_15.036-05_00.jpg,10213_LeafPhotoA_2025-10-21 16_22_15.036,10213,Alabama2025,1.0,2,13,PI534123,AL1,1187117,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10213_LeafPhotoA_2025-10-21 16_22_31.934-05_00.jpg,10213_LeafPhotoA_2025-10-21 16_22_31.934,10213,Alabama2025,1.0,2,13,PI534123,AL1,1006641,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10214_LeafPhotoA_2025-10-21 16_23_00.437-05_00.jpg,10214_LeafPhotoA_2025-10-21 16_23_00.437,10214,Alabama2025,1.0,2,14,PI597950,AL1,1321500,0,CV2,failed_cropping
data/externalsourcerequired/aamu2025/block1/10214_LeafPhotoA_2025-10-21 16_23_11.599-05_00.jpg,10214_LeafPhotoA_2025-10-21 16_23_11.599,10214,Alabama2025,1.0,2,14,PI597950,AL1,1249956,1,CV2,ok
data/externalsourcerequired/aamu2025/block1/10214_LeafPhotoA_2025-10-21 16_23_24.093-05_00.jpg,10214_LeafPhotoA_2025-10-21 16_23_24.093,10214,Alabama2025,1.0,2,14,PI597950,AL1,1691889,0,CV2,failed_cropping
data/externalsourcerequired/aamu2025/block1/10215_LeafPhotoA_2025-10-21 16_24_00.345-05_00.jpg,10215_LeafPhotoA_2025-10-21 16_24_00.345,10215,Alabama2025,1.0,2,15,PI534099,AL1,1540378,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10215_LeafPhotoA_2025-10-21 16_24_17.931-05_00.jpg,10215_LeafPhotoA_2025-10-21 16_24_17.931,10215,Alabama2025,1.0,2,15,PI534099,AL1,1266496,0,CV2,failed_cropping
data/externalsourcerequired/aamu2025/block1/10215_LeafPhotoA_2025-10-21 16_24_32.490-05_00.jpg,10215_LeafPhotoA_2025-10-21 16_24_32.490,10215,Alabama2025,1.0,2,15,PI534099,AL1,1215665,4,CV2,ok
data/externalsourcerequired/aamu2025/block1/10216_LeafPhotoA_2025-10-21 16_25_06.061-05_00.jpg,10216_LeafPhotoA_2025-10-21 16_25_06.061,10216,Alabama2025,1.0,2,16,PI656098,AL1,1433951,0,CV2,failed_cropping
